active_key,melody_sequence,chord,chord_count,prev_chord_1,prev_chord_2,prev_chord_3,prev_chord_4
Gb:maj,"(61, 63)",B:maj(9),1,Ab:min7,B:min,C#:maj,F#:maj
Gb:maj,"(61, 63)",B:maj(9),1,B:maj7,C#:maj,C#:maj,F#:maj
Gb:maj,"(66, 70, 68, 66)",B:maj7,2,B:maj7,C#:maj,Bb:min7,Eb:min7
Gb:maj,"(68, 70, 68, 66)",C#:maj,1,C#:maj,Bb:min7,Eb:min7,B:maj7
Gb:maj,"(68, 70, 68, 66)",C#:7,1,C#:maj,Bb:min7,Eb:min7,B:maj7
Gb:maj,"(68, 70, 68, 66)",Bb:7/3,1,F#:maj/3,B:maj,C#:7,Eb:min
Gb:maj,"(68, 70, 68, 66)",Bb:7/3,1,F#:maj/3,B:maj,C#:maj,Eb:min
Gb:maj,"(66, 61, 63, 66, 68)",F#:maj,1,Bb:min7,Eb:min7,B:maj7,C#:maj
Gb:maj,"(66, 61, 63, 66, 68)",F#:maj,1,Bb:min7,Eb:min7,B:maj7,C#:7
Gb:maj,"(61, 68, 70)",C#:maj,2,B:maj7,Bb:min7,Eb:min7,B:maj7
Gb:maj,"(61, 68, 70)",C#:maj,1,B:maj,Bb:min,Eb:min,B:maj
Gb:maj,"(61, 68, 70)","C#:sus4(b7,9)",1,C#:maj/6,Eb:min9,Ab:min9,E:maj7
Gb:maj,"(61, 68, 70)","C#:sus4(b7,9)",1,Bb:min7,Eb:min7,Ab:min7,E:maj7
Gb:maj,"(66, 66, 65, 66, 65)",B:maj9,1,Bb:min7,Eb:min7,B:maj7,C#:maj
Gb:maj,"(82, 80, 78, 85)",F#:maj,1,G:min,C:maj,F:maj,C#:maj
Gb:maj,"(82, 80, 78, 85)",F#:maj,1,B:maj,F#:maj/3,Ab:min7,C#:maj
Gb:maj,"(80, 82, 80, 78, 80)",C#:maj/3,1,C:maj,F:maj,C#:maj,F#:maj
Gb:maj,"(80, 82, 80, 78, 80)",C#:maj,1,C#:maj,B:maj,F#:maj/3,Ab:min7
Gb:maj,"(80, 82, 80, 78, 80)",C#:maj/3,1,F#:maj/3,Ab:min7,C#:maj,F#:maj
Gb:maj,"(78, 77, 75, 82)",Eb:min,1,F:maj,C#:maj,F#:maj,C#:maj/3
Gb:maj,"(77, 78, 77)",C#:maj,1,C#:maj,F#:maj,C#:maj/3,Eb:min
Gb:maj,"(77, 78, 77)",C#:7,1,C#:maj/b7,Bb:7,Eb:min7,Ab:min7
Gb:maj,"(75, 73, 87, 87)",B:maj,1,F#:maj,C#:maj/3,Eb:min,C#:maj
Gb:maj,"(85, 82, 85)",F#:maj/3,1,C#:maj/3,Eb:min,C#:maj,B:maj
Gb:maj,"(85, 82, 85)",C#:maj/3,1,C#:7,F#:maj,C#:maj,F#:maj
Gb:maj,"(85, 82, 85)",C#:maj,1,C#:maj,F#:maj,C#:maj/3,Eb:min
Gb:maj,"(83, 80, 78, 75)",Ab:min7,1,Eb:min,C#:maj,B:maj,F#:maj/3
Gb:maj,"(78, 77, 75, 78)",Eb:min,1,Ab:min7,C#:maj,F#:maj,C#:maj/3
Gb:maj,"(85, 82, 82, 80)",C#:maj,1,C#:maj,F#:maj,C#:maj/3,Eb:min
Gb:maj,"(78, 75, 82, 80)",B:maj,1,F#:maj,C#:maj/3,Eb:min,C#:maj
Gb:maj,"(78, 73, 75, 77)",F#:maj/3,1,C#:maj/3,Eb:min,C#:maj,B:maj
Gb:maj,"(78, 75, 78, 82)",Ab:min,1,Eb:min,C#:maj,B:maj,F#:maj/3
Gb:maj,"(78, 75, 78, 82)",Ab:min,1,F#:maj/3,Ab:min,C#:maj,F#:maj
Gb:maj,"(85, 82, 78, 75)",C#:maj,1,C#:maj,B:maj,F#:maj/3,Ab:min
Gb:maj,"(85, 82, 78, 75)",C#:maj,1,Ab:min,C#:maj,F#:maj,Ab:min
Gb:maj,"(75, 78, 77)",F#:maj,1,B:maj,F#:maj/3,Ab:min,C#:maj
Gb:maj,"(78,)",F#:maj,1,C#:maj,F#:maj,Ab:min,C#:maj
Gb:maj,"(78,)",F#:maj,1,Eb:min7,Ab:min7,C#:7,F#:maj
Gb:maj,"(78,)",F#:maj,1,B:maj,B:min,Ab:min7,C#:7
Gb:maj,"(78,)",Eb:min,1,F#:maj,B:maj,C#:maj/b7,C#:maj/6
Gb:maj,"(78,)",B:maj,1,Ab:min7,C#:maj,F#:maj,F#:7
Gb:maj,"(78,)",F#:maj,1,D:dim,Eb:min7,Ab:min7,C#:maj
Gb:maj,"(78,)",C#:min7,1,C#:maj,F#:maj,C#:maj/3,Eb:min7
Gb:maj,"(78,)",F#:maj,1,Bb:min7,Eb:7,Ab:min7,C#:maj6(b7)
Gb:maj,"(78,)",B:maj(9),1,Bb:min7,A:maj6,Ab:min7,C#:sus4(b7)
Gb:maj,"(78,)",E:maj(9),1,Bb:min7,Eb:min7,Ab:min7,C#:9
Gb:maj,"(78,)",Ab:min7,1,F#:maj/3,A:maj6,Ab:min7,C#:sus4(b7)
Gb:maj,"(78,)",C#:maj/4,1,C#:maj,F#:maj,Ab:min7,C#:sus4
Gb:maj,"(78,)",F#:maj,1,Bb:min7,Eb:min7,Ab:min7,"C#:sus4(b7,9)"
Gb:maj,"(78,)",F#:maj,1,Bb:min7,Eb:min,Ab:min7,"C#:sus4(b7,9)"
Gb:maj,"(78,)",F#:maj,1,F#:maj,C#:maj/3,Eb:min7,F#:9
Gb:maj,"(78,)",F#:maj/3,1,C#:maj/3,Eb:min7,F#:7,B:maj7
Gb:maj,"(78,)",F#:maj,1,Bb:min7,Eb:maj,Ab:min7,C#:sus4(b7)
Gb:maj,"(78,)",F#:maj,1,B:maj,F#:maj/3,Ab:min7,C#:7
Gb:maj,"(78,)",F#:maj,1,B:maj,F#:maj/3,Ab:min7,C#:sus4(b7)
Gb:maj,"(78,)",B:maj7,1,D:min7,G:min7,C:7,F#:maj7/3
Gb:maj,"(78,)",B:maj,1,Bb:7,Eb:min7,Ab:min7,C#:7
Gb:maj,"(78,)",F#:maj,1,Bb:min7,Eb:min7,Ab:min7,C#:sus4(b7)
Gb:maj,"(78,)",B:maj(9),1,Bb:min7,Eb:min7,Ab:min7,C#:sus4(b7)
Gb:maj,"(78,)",F#:maj,1,Bb:min7,Eb:min,Ab:min7,C#:maj
Gb:maj,"(78,)",Eb:min,1,Eb:min,B:maj,F#:maj,C#:maj
Gb:maj,"(70, 70)",F#:maj6/5,1,None,None,None,None
Gb:maj,"(70, 70)",B:maj(9),1,B:maj,C#:maj,F#:maj,Eb:min
Gb:maj,"(70, 70)",C#:7/3,1,Eb:min,B:maj7,C#:maj,F#:maj
Gb:maj,"(70, 70)",Eb:min,1,B:maj,F#:maj/3,B:maj,C#:7
Gb:maj,"(70, 70)",Eb:min,1,B:maj(9),F#:maj/3,B:maj,C#:maj
Gb:maj,"(70, 70)",F#:maj,2,B:maj,F#:maj,Ab:min7,C#:maj
Gb:maj,"(70, 68, 70, 70, 70)",Eb:min7/b7,1,None,None,None,F#:maj6/5
Gb:maj,"(70, 66, 63, 66, 70, 70, 63, 70, 70, 66, 63, 66, 70, 68, 61, 70, 61)",C#:7,1,None,None,F#:maj6/5,Eb:min7/b7
Gb:maj,"(70, 68, 70, 68, 70, 68, 70, 61, 70)",C#:maj,1,None,F#:maj6/5,Eb:min7/b7,C#:7
Gb:maj,"(73, 73, 70, 73, 73, 75, 78, 78, 78, 75, 73, 73, 78, 75, 73, 70, 68)",F#:maj,1,F#:maj6/5,Eb:min7/b7,C#:7,C#:maj
Gb:maj,"(73, 73, 70, 73, 73, 75, 78, 78, 78, 75, 73, 73, 78, 75, 73, 70, 68)",F#:maj,1,Eb:min,Ab:min,Ab:maj,C#:maj
Gb:maj,"(70, 68, 73, 70, 68)",C#:maj(9),1,Eb:min7/b7,C#:7,C#:maj,F#:maj
Gb:maj,"(70, 68, 73, 70, 68)",C#:maj,1,Ab:min9/5,B:maj,C#:maj,F#:maj
Gb:maj,"(70, 68, 73, 70, 68)",C#:maj,1,C#:maj,F#:maj,Bb:min,F#:maj/3
Gb:maj,"(70, 68, 73, 70, 68)",C#:maj/5,1,F#:maj,Eb:min,Ab:min,F#:maj
Gb:maj,"(70, 68, 73, 70, 68)",C#:maj,1,Ab:min,Ab:maj,C#:maj,F#:maj
Gb:maj,"(70, 68, 73, 70, 68)",C#:maj,1,Ab:min,B:maj,C#:maj,F#:maj
Gb:maj,"(70, 68, 73, 70, 68)",C#:maj,1,C#:maj,F#:maj,Bb:min,F#:maj
Gb:maj,"(73, 73, 70, 73, 73, 73)",F#:maj,1,C#:7,C#:maj,F#:maj,C#:maj(9)
Gb:maj,"(73, 73, 70, 73, 73, 73)",F#:maj,1,F#:maj,Bb:min,F#:maj/3,C#:maj
Gb:maj,"(73, 73, 70, 73, 73, 73)",F#:maj,1,Ab:maj,C#:maj,F#:maj,C#:maj
Gb:maj,"(73, 73, 70, 73, 73, 73)",F#:maj,1,F#:maj,Bb:min,F#:maj,C#:maj
Gb:maj,"(68, 70, 70, 68, 66)",Eb:min7,1,C#:maj,F#:maj,C#:maj(9),F#:maj
Gb:maj,"(68, 70, 70, 68, 66)",Eb:min7,1,C#:maj,F#:maj,C#:maj,F#:maj
Gb:maj,"(68, 70, 70, 68, 66)",Eb:min,2,C#:maj,F#:maj,C#:maj,F#:maj
Gb:maj,"(68, 70, 70, 68, 66)",Eb:min7,1,Ab:min,F#:maj,C#:maj/5,F#:maj
Gb:maj,"(68, 68, 68, 70, 73, 73, 70)",Ab:min9/5,1,F#:maj,C#:maj(9),F#:maj,Eb:min7
Gb:maj,"(68, 68, 68, 70, 73, 73, 70)",Ab:min,1,F#:maj,C#:maj,F#:maj,Eb:min7
Gb:maj,"(68, 68, 68, 70, 73, 73, 70)",Ab:min,1,F#:maj,C#:maj/5,F#:maj,Eb:min7
Gb:maj,"(68, 68, 68, 70, 73, 73, 70)",Ab:min,2,F#:maj,C#:maj,F#:maj,Eb:min
Gb:maj,"(68, 66, 63, 66)",B:maj,1,C#:maj(9),F#:maj,Eb:min7,Ab:min9/5
Gb:maj,"(68, 66, 63, 66)",B:maj,1,C#:maj,F#:maj,Eb:min7,Ab:min
Gb:maj,"(68, 66, 63, 66)",B:maj,1,C#:maj/5,F#:maj,Eb:min7,Ab:min
Gb:maj,"(68, 66, 63, 66)",B:maj,2,C#:maj,F#:maj,Eb:min,Ab:min
Gb:maj,"(61,)",C#:maj,1,F#:maj,Eb:min7,Ab:min9/5,B:maj
Gb:maj,"(61,)",C#:maj,2,F#:maj,Eb:min7,Ab:min,B:maj
Gb:maj,"(61,)",C#:maj,2,F#:maj,Eb:min,Ab:min,B:maj
Gb:maj,"(61,)",Bb:min7,1,None,None,None,F#:maj
Gb:maj,"(61,)",C#:7,1,F#:maj,Bb:min7,Eb:min,Ab:7
Gb:maj,"(61,)",C#:maj,1,F#:maj,Bb:min7,Eb:min7,Ab:7
Gb:maj,"(61,)",C#:maj,2,F#:maj,C#:maj,Eb:min,B:maj
Gb:maj,"(61,)",Eb:min,2,B:maj,C#:maj,F#:maj,C#:maj
Gb:maj,"(61,)",C#:maj,1,F#:maj,C#:maj,Eb:min,B:maj7
Gb:maj,"(61,)",Eb:min7,1,B:maj7,C#:maj,F#:maj,C#:7/3
Gb:maj,"(61,)",C#:maj,1,N,E:maj,Eb:min7,Ab:7
Gb:maj,"(61,)",C#:maj,1,None,None,None,None
Gb:maj,"(73, 73, 70, 73, 73, 75, 78, 78, 75, 73, 73, 78, 75, 73, 70, 68)",F#:maj,1,Eb:min7,Ab:min9/5,B:maj,C#:maj
Gb:maj,"(73, 73, 70, 73, 73, 75, 78, 78, 75, 73, 73, 78, 75, 73, 70, 68)",F#:maj,1,Eb:min,Ab:min,B:maj,C#:maj
Gb:maj,"(73, 73, 70, 73, 73, 70)",F#:maj,2,B:maj,C#:maj,F#:maj,C#:maj
Gb:maj,"(73, 73, 70, 73, 73, 70)",Bb:min7,1,Ab:dim,F#:maj,B:maj,F#:maj
Gb:maj,"(78, 78, 75, 78, 78, 75)",F#:maj,1,Eb:min7,Ab:min,B:maj,C#:maj
Gb:maj,"(78, 78, 75, 78, 78, 75)",Eb:min,1,Eb:min7,Ab:min,B:maj,C#:maj
Gb:maj,"(78, 78, 75, 78, 78, 75)",F#:maj,1,Eb:min,Ab:min,B:maj,C#:maj
Gb:maj,"(73, 75, 73)",Bb:min,2,Ab:min,B:maj,C#:maj,F#:maj
Gb:maj,"(73, 75, 73)",F#:maj/5,1,Ab:min,B:maj,C#:maj,Eb:min
Gb:maj,"(73, 75, 73)",Bb:min7,1,Ab:min7,C#:7,F#:maj,F#:maj7/3
Gb:maj,"(73, 75, 73)",Bb:min7,1,Eb:min,Ab:min7,C#:7,F#:maj
Gb:maj,"(73, 75, 73)",C#:maj/3,1,F#:maj/3,Ab:min7,C#:maj,F#:maj
Gb:maj,"(73, 75, 73)",C#:maj/3,1,C#:sus4(b7),B:maj,F#:maj,F#:maj
Gb:maj,"(73, 75, 73)",C#:maj/3,1,B:maj,F#:maj/3,Ab:min7,F#:maj
Gb:maj,"(73, 75, 73)",C#:maj,1,F#:maj,C#:maj,Eb:min,B:maj(9)
Gb:maj,"(73, 75, 73)",F#:maj,1,Eb:min,C#:maj,Ab:min7,C#:maj
Gb:maj,"(73, 78, 75, 73, 73, 70, 68)",F#:maj/3,1,B:maj,C#:maj,F#:maj,Bb:min
Gb:maj,"(73, 78, 75, 73, 73, 70, 68)",F#:maj,1,B:maj,C#:maj,F#:maj,Bb:min
Gb:maj,"(68, 70, 70, 68, 66, 63, 68)",Eb:min,1,Bb:min,F#:maj/3,C#:maj,F#:maj
Gb:maj,"(68, 68, 70, 68, 66, 63, 66, 66)",Ab:min,1,F#:maj/3,C#:maj,F#:maj,Eb:min
Gb:maj,"(73, 73, 70, 73, 73, 75, 78, 78, 75, 73, 73, 73, 75, 73, 70, 68)",F#:maj,1,C#:maj,F#:maj,Eb:min,Ab:min
Gb:maj,"(70, 70, 68, 73, 73, 73)",F#:maj,1,Eb:min,Ab:min,F#:maj,C#:maj/5
Gb:maj,"(73, 78, 75, 80, 78, 75)",B:maj,1,B:maj,C#:maj,Eb:min,F#:maj/5
Gb:maj,"(73, 75, 73, 70, 68)",Bb:min,1,C#:maj,Eb:min,F#:maj/5,B:maj
Gb:maj,"(66, 66, 63, 66, 66, 63)",F#:maj,1,Eb:min,F#:maj/5,B:maj,Bb:min
Gb:maj,"(66, 68, 73)",Eb:min,1,F#:maj/5,B:maj,Bb:min,F#:maj
Gb:maj,"(68, 68, 68, 66)",Ab:min,1,B:maj,Bb:min,F#:maj,Eb:min
Gb:maj,"(68, 78, 75)",Ab:maj,1,Bb:min,F#:maj,Eb:min,Ab:min
Gb:maj,"(73,)",C#:maj,1,F#:maj,Eb:min,Ab:min,Ab:maj
Gb:maj,"(73,)",Bb:min,1,Eb:min,C:dim,B:maj,C#:maj
Gb:maj,"(73,)",C#:maj,1,Eb:min7,B:maj,Ab:min7,C#:maj
Gb:maj,"(73,)",C#:maj,1,C#:maj,Eb:min,F#:maj/5,B:maj
Gb:maj,"(73,)",C#:maj,1,C#:maj,Ab:min7,C#:maj,F#:maj
Gb:maj,"(73,)",F#:maj,1,None,None,None,B:maj(2)/2
Gb:maj,"(73,)",F#:maj,1,Bb:min7,Eb:7,Ab:min7,C#:maj
Gb:maj,"(73,)",F#:maj,1,Eb:7,Ab:min7,C#:7,C#:maj
Gb:maj,"(73,)",C#:maj,1,F#:maj,C#:maj,Eb:min,B:maj(9)
Gb:maj,"(73,)",C#:7,1,F#:maj,C#:7/3,Eb:min7,B:maj(9)
Gb:maj,"(73,)",C#:maj6,1,"C#:sus4(b7,9)",F#:maj,C#:maj/3,Eb:min7
Gb:maj,"(73,)",C#:7,1,Bb:min7,Eb:min7,Ab:min7,C#:sus4(b7)
Gb:maj,"(73,)",Bb:min7,1,C#:7,F#:maj,C#:maj/3,Eb:min7
Gb:maj,"(73,)",F#:maj,1,C#:7,F#:maj,C#:maj/3,Eb:min7
Gb:maj,"(73,)","C#:sus4(b7,9)",1,F#:7,B:maj7,F#:maj/3,Ab:min7
Gb:maj,"(73,)",C#:maj/3,1,None,None,None,F#:maj
Gb:maj,"(73,)",C#:maj/3,1,Eb:min7,Ab:min7,Ab:7,F#:maj
Gb:maj,"(73,)",F#:maj/5,1,C#:maj,F#:maj,C#:maj/3,Eb:min7
Gb:maj,"(73,)",Bb:min7,1,B:maj,Ab:min7,C#:maj,F#:maj
Gb:maj,"(73,)",F#:maj(9),1,F#:maj,Bb:min7,Ab:min7,C#:9
Gb:maj,"(73,)",F#:maj(2)/2,1,Ab:min7,C#:9,F#:maj(9),F#:maj(9)/3
Gb:maj,"(73,)",B:maj/3,1,Eb:min7,Bb:min,B:maj(9),Ab:9
Gb:maj,"(73,)",F#:maj,1,Eb:min7,"Ab:sus4(b7,9)",Ab:9,C#:9
Gb:maj,"(73,)",B:maj/3,1,Bb:min7,Eb:min,F#:maj7/5,Ab:7
Gb:maj,"(73,)",C#:maj,1,B:maj,Bb:min7,Eb:maj,Ab:maj
Gb:maj,"(73,)",C#:min7,1,Bb:min7,B:maj7/7,C:hdim7,C:min
Gb:maj,"(73,)",C#:maj,1,Eb:min7/b7,B:maj7,Bb:min7,C:hdim7
Gb:maj,"(73,)",F#:maj/3,1,Ab:min7,C#:maj,B:maj,C#:maj
Gb:maj,"(73,)",Bb:min7,1,Ab:min7,C#:maj,B:maj,C#:maj
Gb:maj,"(73,)",Bb:min7,1,E:maj,C#:maj,B:maj,C#:7
Gb:maj,"(68, 70, 70, 68, 66, 63)",Eb:min,1,Bb:min,F#:maj,C#:maj,F#:maj
Gb:maj,"(68, 68, 68, 70, 68, 66, 63, 66)",Ab:min7,1,F#:maj,C#:maj,F#:maj,Eb:min
Gb:maj,"(66, 63)",F#:maj,1,C#:maj,F#:maj,Eb:min,Ab:min7
Gb:maj,"(66, 63)",B:maj(9),1,None,None,F#:maj,C#:maj/3
Gb:maj,"(66, 63)",B:maj,1,Ab:min7,Ab:7,F#:maj,C#:maj/3
Gb:maj,"(66, 63)",B:maj,1,Ab:min7,C#:maj,F#:maj,Bb:min7
Gb:maj,"(66, 63)",C#:min,1,B:maj,Bb:min7,Eb:7,Ab:min
Gb:maj,"(68, 68, 68, 70, 68, 66, 63, 66, 66)",Ab:min,1,F#:maj,Eb:min,Ab:min7,F#:maj
Gb:maj,"(70,)",F#:maj,1,Eb:min,Ab:min7,F#:maj,Ab:min
Gb:maj,"(70,)",Bb:min7,1,Eb:min,C:dim,B:maj,C#:7/b7
Gb:maj,"(70,)",F#:maj7,1,F#:maj,Eb:min7,Ab:min,C#:7
Gb:maj,"(70,)",F#:maj7,1,F#:maj,Eb:min,Ab:min7,C#:7
Gb:maj,"(70,)",C#:7,1,B:maj,B:min,Ab:min7,Bb:min7
Gb:maj,"(70,)",C#:maj,1,C#:maj,F#:maj,C#:maj/3,Eb:min
Gb:maj,"(70,)",F#:maj,1,C#:maj,B:maj,Ab:min7,C#:maj
Gb:maj,"(70,)",C#:maj,1,F#:maj,B:maj,F#:maj/3,Ab:min7
Gb:maj,"(70,)",F#:maj,1,B:maj,C#:maj,Ab:min7,C#:maj
Gb:maj,"(70,)",F#:maj,1,None,None,None,C#:sus4(b7)
Gb:maj,"(70,)",Eb:min7,1,None,None,B:maj9,C#:maj
Gb:maj,"(70,)",Eb:min9,1,C#:maj,Eb:min7,B:maj9(13),C#:maj
Gb:maj,"(70,)",Eb:min9,1,"C#:sus4(b7,9)",B:maj(2)/2,B:maj9,C#:maj6(9)
Gb:maj,"(70,)",F:min,1,None,None,None,F#:maj
Gb:maj,"(70,)",C#:maj/3,1,Ab:7,C#:sus4,C#:maj,F#:maj
Gb:maj,"(70,)",C#:maj/3,1,C#:7,F#:maj,C#:7,F#:maj
Gb:maj,"(70,)",F#:maj,1,C#:maj,Bb:min,Eb:min7,B:maj
Gb:maj,"(70,)",F#:maj,1,F#:maj,C#:maj/3,B:maj,F#:sus4
Gb:maj,"(70,)",F#:maj,2,B:maj,F#:maj/3,B:maj,C#:maj
Gb:maj,"(70,)",Eb:maj,2,F#:maj,Bb:7,B:maj,Bb:min7
Gb:maj,"(70,)",B:maj7,1,F#:maj9,Eb:min9,Ab:min7,Ab:min
Gb:maj,"(70,)",F#:maj,3,C#:maj,F#:maj,B:maj,C#:maj
Gb:maj,"(70,)",C#:maj/3,1,B:maj,C#:maj,F#:maj/5,F#:maj
Gb:maj,"(70,)",C#:maj/3,1,Eb:min,B:maj,C#:maj,F#:maj
Gb:maj,"(70,)",C#:maj/3,1,B:maj,C#:maj,F#:maj,F#:maj
Gb:maj,"(70,)",C#:maj/3,1,F#:maj,B:maj,C#:maj,F#:maj
Gb:maj,"(70,)",Eb:min7/5,1,F#:maj7,B:maj,B:min,Bb:min7
Gb:maj,"(70,)",Eb:min7,1,F#:maj7,B:maj,D:maj,Bb:min7
Gb:maj,"(70,)",F#:maj,1,None,F#:maj,Ab:min7,C#:7
Gb:maj,"(70,)",F#:maj,1,Ab:min(9),F#:maj,Ab:min7,C#:maj
Gb:maj,"(70,)",F#:maj,1,F#:maj/3,Eb:min7,Ab:min7,C#:maj
Gb:maj,"(70,)",F#:maj,1,F#:maj,F#:maj,Ab:min7,C#:maj
Gb:maj,"(70,)",F#:maj,1,B:maj,F#:maj,Ab:min7,C#:maj
Gb:maj,"(70,)",F#:maj,1,Bb:min7,Eb:min9,Ab:min7,C#:7
Gb:maj,"(70,)",Eb:min,1,B:maj,C#:maj,B:maj,C#:maj
Gb:maj,"(70,)",Bb:min,5,B:maj,F#:maj,C#:maj/3,Eb:min
Gb:maj,"(70,)",F#:maj,4,Eb:min,Bb:min,B:maj,C#:maj
Gb:maj,"(70,)",Eb:min,1,B:maj7,C#:maj,B:maj,C#:maj
Gb:maj,"(61, 70, 68, 70, 68, 70, 68, 70, 63, 61, 68, 68, 70, 68, 61, 70, 68, 61, 70, 68, 70, 68, 61, 68, 61, 68, 61, 63, 68, 63, 68, 70, 61, 70, 68, 70, 68, 61, 68, 70, 61, 61, 68, 68, 68, 70, 61, 68, 70, 61, 70, 68, 70, 61, 61, 68)",C#:maj,1,Ab:min7,F#:maj,Ab:min,F#:maj
